model,year,price,transmission,mileage,fueltype,tax,mpg,enginesize,wiek_auta,przebieg_na_rok,automat,diesel,cena_na_1000_km,log_cena,log_przebieg,segment_silnika
 5 Series,2014,11200,Automatic,67068,Diesel,125,57.6,2.0,6,11178.0,1,1,166.9946919544343,9.323669057283185,11.113477219186896,1.6-2.0
 6 Series,2018,27000,Automatic,14827,Petrol,145,42.8,2.0,2,7413.5,1,0,1821.002225669387,10.203592144986466,9.604272564270623,1.6-2.0
 5 Series,2016,16000,Automatic,62794,Diesel,160,51.4,3.0,4,15698.5,1,1,254.80141414784853,9.680344001221918,11.047630731452227,2.6-3.0
 1 Series,2017,12750,Automatic,26676,Diesel,145,72.4,1.5,3,8892.0,1,1,477.9577147998201,9.453286550586572,10.191557049929173,<=1.5
 7 Series,2014,14500,Automatic,39554,Diesel,160,50.4,3.0,6,6592.333333333333,1,1,366.5874500682611,9.581903928408666,10.585447387455497,2.6-3.0
 5 Series,2016,14900,Automatic,35309,Diesel,125,60.1,2.0,4,8827.25,1,1,421.98872808632365,9.60911649193355,10.471921488922431,1.6-2.0
 5 Series,2017,16000,Automatic,38538,Diesel,125,60.1,2.0,3,12846.0,1,1,415.1746328299341,9.680344001221918,10.559425994563744,1.6-2.0
 2 Series,2018,16250,Manual,10401,Petrol,145,52.3,1.5,2,5200.5,0,0,1562.3497740601865,9.695848187757884,9.249753374333018,<=1.5
 4 Series,2017,14250,Manual,42668,Diesel,30,62.8,2.0,3,14222.666666666666,0,1,333.9739383144277,9.564512185696797,10.661227940238337,1.6-2.0
 5 Series,2016,14250,Automatic,36099,Diesel,20,68.9,2.0,4,9024.75,1,1,394.74777694672986,9.564512185696797,10.494048144320972,1.6-2.0
 X3,2017,15500,Manual,74907,Diesel,145,52.3,2.0,3,24969.0,0,1,206.92325149852485,9.648595302907339,11.2240159728804,1.6-2.0
 1 Series,2017,11800,Manual,29840,Diesel,20,68.9,2.0,3,9946.666666666666,0,1,395.44235924932974,9.375854810453756,10.303638565820524,1.6-2.0
 X3,2016,15500,Automatic,77823,Diesel,125,54.3,2.0,4,19455.75,1,1,199.16991120876864,9.648595302907339,11.262205145885785,1.6-2.0
 2 Series,2015,10500,Manual,31469,Diesel,20,68.9,2.0,5,6293.8,0,1,333.66169881470654,9.259130536145614,10.356789990058452,1.6-2.0
 X3,2017,22000,Automatic,19057,Diesel,145,54.3,2.0,3,6352.333333333333,1,1,1154.4314425145617,9.998797732340453,9.855242239908133,1.6-2.0
